0 1:0.774893 2:0.315563 3:0.00984167 4:0.384129 5:-0.0551827 6:0.0158935 7:0.76661 8:0.231355 9:0.0020351 10:0.0742015 11:0.997965 12:0.393957 13:0.00164729
0 1:0.652713 2:0.194378 3:0.00196108 4:0.302461 5:-0.0587193 6:0.0164084 7:0.68944 8:0.307992 9:0.00256718 10:0.0686078 11:0.997433 12:0.572714 13:0.00195502
1 1:0.0601671 2:-0.00805065 3:-0.0151196 4:0.0156343 5:0.0198269 6:0.0556874 7:0.432805 8:0.473475 9:0.0937202 10:0.0297666 11:0.90628 12:0.37651 13:0.0564268
0 1:0.375049 2:0.190979 3:0.025943 4:0.332337 5:-0.0373082 6:0.0142463 7:0.680846 8:0.316445 9:0.00270942 10:0.0520101 11:0.997291 12:0.644522 13:0.0020497
0 1:0.00921932 2:-0.000525738 3:0.00293978 4:0.00263457 5:-0.00714953 6:0.0578855 7:0.846652 8:0.12416 9:0.0291878 10:0.00971904 11:0.970812 12:0.220448 13:0.0246823
0 1:0.00724362 2:0.00388417 3:-0.00214854 4:0.00707706 5:0.00814006 6:0.0624746 7:0.831186 8:0.131862 9:0.0369524 10:0.0117243 11:0.963048 12:0.238362 13:0.0306464
0 1:0.779751 2:-0.161329 3:0.0572576 4:0.357708 5:-0.0644333 6:0.0422832 7:0.63198 8:0.333928 9:0.0340917 10:0.195514 11:0.965908 12:0.610175 13:0.0243145
0 1:0.732579 2:0.328674 3:0.0708558 4:0.425675 5:-0.00764205 6:0.0150071 7:0.761309 8:0.236097 9:0.00259382 10:0.0805592 11:0.997406 12:0.40393 13:0.00208962
0 1:0.00470521 2:-0.00631629 3:0.00700558 4:0.0218911 5:-0.0190188 6:0.0438059 7:0.798974 8:0.154798 9:0.0462271 10:0.0118672 11:0.953773 12:0.228595 13:0.0370631
0 1:0.602319 2:0.312122 3:0.0578235 4:0.422565 5:-0.011307 6:0.0138591 7:0.764129 8:0.233868 9:0.0020036 10:0.0653623 11:0.997996 12:0.478525 13:0.00161858
0 1:0.0139177 2:0.00171568 3:-0.00796384 4:0.00635539 5:0.0113368 6:0.065231 7:0.796933 8:0.155684 9:0.0473823 10:0.0145436 11:0.952618 12:0.261398 13:0.0378922
0 1:1.22122 2:-0.0895878 3:0.0157651 4:0.276839 5:-0.0390155 6:0.0207596 7:0.777291 8:0.21056 9:0.0121487 10:0.171388 11:0.987851 12:0.16294 13:0.00983814
0 1:0.297931 2:0.167668 3:0.0244638 4:0.298207 5:-0.0299676 6:0.0128764 7:0.695388 8:0.301683 9:0.00292894 10:0.0448392 11:0.997071 12:0.641937 13:0.00224003
0 1:0.00726143 2:-0.00581218 3:0.00656981 4:0.0212925 5:-0.0211176 6:0.040989 7:0.848241 8:0.0613187 9:0.0904406 10:0.013404 11:0.909559 12:0.228657 13:0.0728068
1 1:0.0550829 2:0.0241365 3:0.000231947 4:0.0255136 5:-0.0145393 6:0.0432978 7:0.347923 8:0.548068 9:0.104009 10:0.0287714 11:0.895991 12:0.364774 13:0.0592275
1 1:0.0213554 2:0.0172195 3:0.021845 4:0.0567756 5:-0.000505913 6:0.0492933 7:0.217909 8:0.71279 9:0.0693006 10:0.0260467 11:0.930699 12:0.366971 13:0.0374316
0 1:0.624786 2:-0.112372 3:-0.0279667 4:0.325863 5:-0.0497825 6:0.0438332 7:0.54632 8:0.406269 9:0.0474106 10:0.184246 11:0.952589 12:0.742775 13:0.0315841
0 1:0.748875 2:-0.0998912 3:0.0207483 4:0.298984 5:-0.0487967 6:0.0222689 7:0.630582 8:0.3514 9:0.0180185 10:0.145089 11:0.981981 12:0.617451 13:0.0129869
1 1:0.0478369 2:0.0283762 3:0.0104257 4:0.0346614 5:-0.00620708 6:0.0583983 7:0.174561 8:0.693889 9:0.131549 10:0.0343482 11:0.868451 12:0.40133 13:0.0672202
0 1:0.983983 2:-0.163616 3:0.0627713 4:0.310178 5:-0.0563321 6:0.034157 7:0.728212 8:0.250317 9:0.021471 10:0.184917 11:0.978529 12:0.412843 13:0.0166022
0 1:0.0123989 2:0.000554847 3:-0.0121616 4:0.00690553 5:0.013401 6:0.0685788 7:0.84597 8:0.11466 9:0.0393701 10:0.013429 11:0.96063 12:0.259845 13:0.0329899
1 1:0.0469667 2:0.0261608 3:0.0116877 4:0.0342611 5:-0.00866793 6:0.0570482 7:0.14033 8:0.722106 9:0.137564 10:0.0339831 11:0.862436 12:0.397126 13:0.0688771
0 1:0.00915179 2:0.00395661 3:0.00587955 4:0.0237216 5:-0.0172612 6:0.0460656 7:0.668671 8:0.245187 9:0.0861427 10:0.0170191 11:0.913857 12:0.260116 13:0.0607721
0 1:0.329098 2:0.122235 3:0.044824 4:0.309885 5:-0.0277828 6:0.0149738 7:0.525358 8:0.471671 9:0.00297108 10:0.0496305 11:0.997029 12:0.697259 13:0.00201073
